event_type,start_date,end_date,depth,EVENT_NUMBER,EVENT_CAT,EVENT_DURATION,EVENT_ONSET_RATE,EVENT_DECLINE_RATE,EVENT_INTENSITY_MEAN,EVENT_INTENSITY_MAX,EVENT_INTENSITY_VAR,EVENT_INTENSITY_CUMULATIVE,EVENT_INTENSITY_MEAN_RELPERC,EVENT_INTENSITY_MAX_RELPERC,EVENT_INTENSITY_VAR_RELPERC,EVENT_INTENSITY_CUMULATIVE_RELPERC
MHW,2021-04-17 12:00:00,2021-04-28 12:00:00,38,33.0,1.0,12.0,0.061,0.129,1.184,1.312,0.113,14.212,0.223,0.356,0.107,2.679
MHW,2021-05-05 12:00:00,2021-05-25 12:00:00,38,34.0,2.0,21.0,0.088,0.114,1.35,1.867,0.259,28.343,0.446,0.954,0.255,9.369
MHW,2021-05-30 12:00:00,2021-06-18 12:00:00,38,35.0,1.0,20.0,0.701,0.047,1.392,1.675,0.224,27.845,0.388,0.69,0.228,7.756
MHW,2021-07-13 12:00:00,2021-07-22 12:00:00,38,36.0,2.0,10.0,0.198,0.128,1.527,1.9,0.275,15.265,0.581,0.954,0.275,5.814
MHW,2022-01-01 12:00:00,2022-01-08 12:00:00,38,37.0,1.0,8.0,0.166,0.259,1.468,1.884,0.267,11.746,0.389,0.78,0.248,3.113
MHW,2022-02-14 12:00:00,2022-02-26 12:00:00,38,38.0,1.0,13.0,0.106,0.325,1.969,2.338,0.266,25.6,0.664,1.044,0.27,8.634
MHW,2022-03-13 12:00:00,2022-03-28 12:00:00,38,39.0,2.0,16.0,0.192,0.095,1.335,1.924,0.276,21.362,0.43,1.007,0.266,6.888
MHW,2022-04-01 12:00:00,2022-04-16 12:00:00,38,40.0,2.0,16.0,0.563,0.071,1.439,2.045,0.283,23.019,0.488,1.123,0.298,7.813
MHW,2022-05-12 12:00:00,2022-05-18 12:00:00,38,41.0,1.0,7.0,0.148,0.173,1.22,1.312,0.12,8.539,0.323,0.399,0.112,2.26
MHW,2022-07-26 12:00:00,2022-07-30 12:00:00,38,42.0,1.0,5.0,0.139,0.472,1.088,1.364,0.166,5.439,0.175,0.463,0.169,0.874
MHW,2022-08-18 12:00:00,2022-08-23 12:00:00,38,43.0,1.0,6.0,0.097,0.126,1.059,1.219,0.146,6.357,0.232,0.39,0.149,1.394
MCS,2009-12-09 12:00:00,2009-12-14 12:00:00,38,1.0,2.0,6.0,-0.51,-0.435,-1.79,-2.448,0.472,-10.741,-0.766,-1.425,0.472,-4.598
MCS,2014-12-18 12:00:00,2014-12-29 12:00:00,38,2.0,2.0,12.0,-0.136,-0.166,-1.689,-2.034,0.28,-20.271,-0.678,-1.022,0.273,-8.134
MCS,2018-11-06 12:00:00,2018-11-11 12:00:00,38,3.0,1.0,6.0,-0.161,-0.37,-1.034,-1.441,0.21,-6.203,-0.296,-0.69,0.2,-1.778
MCS,2018-12-08 12:00:00,2018-12-13 12:00:00,38,4.0,1.0,6.0,-0.239,-0.534,-1.394,-1.931,0.27,-8.363,-0.374,-0.908,0.27,-2.242
MCS,2023-01-14 12:00:00,2023-01-18 12:00:00,38,5.0,2.0,5.0,-0.463,-0.761,-2.212,-2.777,0.341,-11.06,-1.025,-1.59,0.354,-5.127
MHW,2010-11-06 12:00:00,2010-11-11 12:00:00,47,1.0,1.0,6.0,0.136,0.336,1.311,1.47,0.137,7.865,0.402,0.55,0.133,2.41
MHW,2010-11-21 12:00:00,2010-12-01 12:00:00,47,2.0,1.0,11.0,0.045,0.176,1.187,1.401,0.16,13.052,0.258,0.47,0.159,2.843
MHW,2010-12-04 12:00:00,2010-12-15 12:00:00,47,3.0,1.0,12.0,0.064,0.035,1.169,1.262,0.06,14.024,0.189,0.29,0.05,2.262
MHW,2010-12-23 12:00:00,2010-12-31 12:00:00,47,4.0,1.0,9.0,0.07,0.246,1.289,1.446,0.117,11.597,0.231,0.387,0.116,2.079
MHW,2011-01-04 12:00:00,2011-01-22 12:00:00,47,5.0,2.0,19.0,0.198,0.166,2.218,2.78,0.436,42.143,1.011,1.555,0.455,19.218
MHW,2011-01-29 12:00:00,2011-03-11 12:00:00,47,6.0,3.0,42.0,0.065,0.494,2.814,3.834,0.694,118.181,1.44,2.691,0.735,60.467
MHW,2011-03-17 12:00:00,2011-05-13 12:00:00,47,7.0,3.0,58.0,0.069,0.062,1.868,2.897,0.522,108.362,0.995,2.011,0.51,57.696
MHW,2011-09-19 12:00:00,2011-09-23 12:00:00,47,8.0,1.0,5.0,0.184,0.334,1.127,1.288,0.143,5.634,0.27,0.45,0.166,1.351
MHW,2014-09-03 12:00:00,2014-09-15 12:00:00,47,9.0,1.0,13.0,0.064,0.349,1.472,1.789,0.247,19.132,0.503,0.831,0.25,6.541
MHW,2015-10-15 12:00:00,2015-10-22 12:00:00,47,10.0,1.0,8.0,0.045,0.069,0.871,0.956,0.048,6.97,0.125,0.195,0.041,1.002
MHW,2015-10-31 12:00:00,2015-11-06 12:00:00,47,11.0,1.0,7.0,0.083,0.055,1.088,1.179,0.064,7.618,0.208,0.297,0.061,1.456
MHW,2017-06-13 12:00:00,2017-06-17 12:00:00,47,12.0,1.0,5.0,0.229,0.728,1.677,1.928,0.152,8.385,0.552,0.809,0.152,2.76
MHW,2017-07-23 12:00:00,2017-07-27 12:00:00,47,13.0,1.0,5.0,0.263,0.491,1.655,1.905,0.301,8.276,0.626,0.87,0.299,3.13
MHW,2017-11-18 12:00:00,2017-11-22 12:00:00,47,14.0,1.0,5.0,0.078,0.233,1.108,1.186,0.072,5.541,0.163,0.25,0.072,0.815
MHW,2018-06-12 12:00:00,2018-06-16 12:00:00,47,15.0,1.0,5.0,0.296,0.078,1.281,1.35,0.079,6.405,0.151,0.211,0.081,0.755
MHW,2018-07-12 12:00:00,2018-07-16 12:00:00,47,16.0,1.0,5.0,1.317,0.235,1.451,1.973,0.28,7.253,0.46,0.982,0.28,2.3
MHW,2019-12-14 12:00:00,2019-12-21 12:00:00,47,17.0,1.0,8.0,0.099,0.2,1.266,1.506,0.19,10.127,0.234,0.466,0.19,1.876
MHW,2019-12-25 12:00:00,2019-12-31 12:00:00,47,18.0,1.0,7.0,0.34,0.164,1.511,1.65,0.118,10.579,0.453,0.592,0.119,3.17
MHW,2020-07-03 12:00:00,2020-07-07 12:00:00,47,19.0,2.0,5.0,2.275,0.246,1.673,2.275,0.418,8.363,0.629,1.212,0.417,3.144
MHW,2020-07-15 12:00:00,2020-07-21 12:00:00,47,20.0,2.0,7.0,1.19,0.13,1.604,2.077,0.236,11.228,0.605,1.085,0.238,4.232
MHW,2020-09-01 12:00:00,2020-09-09 12:00:00,47,21.0,1.0,9.0,0.205,0.364,1.483,1.832,0.273,13.35,0.511,0.852,0.27,4.599
